gene,mimNumber,preferredTitle,uniprot_id
FER,176942,FPS/FES-RELATED TYROSINE KINASE; FER,
PKN2,602549,PROTEIN KINASE N2; PKN2,
PIP4K2B,603261,"PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE, TYPE II, BETA; PIP4K2B",
TRIB1,609461,TRIBBLES PSEUDOKINASE 1; TRIB1,
GRK2,109635,G PROTEIN-COUPLED RECEPTOR KINASE 2; GRK2,
ACVR1C,608981,"ACTIVIN A RECEPTOR, TYPE IC; ACVR1C",
TYRO3,600341,TYRO3 PROTEIN TYROSINE KINASE; TYRO3,
CLK2,602989,CDC-LIKE KINASE 2; CLK2,
RIOK3,603579,RIO KINASE 3; RIOK3,
EPHA1,179610,EPHRIN RECEPTOR EphA1; EPHA1,
ITPKB,147522,"INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE B; ITPKB",
RIOK2,617754,RIO KINASE 2; RIOK2,
