gene,mimNumber,preferredTitle
HIPK4,611712,HOMEODOMAIN-INTERACTING PROTEIN KINASE 4; HIPK4
FGFR2,176943,FIBROBLAST GROWTH FACTOR RECEPTOR 2; FGFR2
PRKACA,601639,"PROTEIN KINASE, cAMP-DEPENDENT, CATALYTIC, ALPHA; PRKACA"
RPS6KA1,601684,RIBOSOMAL PROTEIN S6 KINASE A1; RPS6KA1
AURKB,604970,AURORA KINASE B; AURKB
CHKA,118491,"CHOLINE KINASE, ALPHA; CHKA"
PTK7,601890,PROTEIN-TYROSINE KINASE PTK7; PTK7
EPHA4,602188,EPHRIN RECEPTOR EphA4; EPHA4
PRKCA,176960,"PROTEIN KINASE C, ALPHA; PRKCA"
PI4K2A,609763,"PHOSPHATIDYLINOSITOL 4-KINASE, TYPE 2, ALPHA; PI4K2A"
PIP4K2C,617104,"PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE, TYPE II, GAMMA; PIP4K2C"
TSSK2,610710,TESTIS-SPECIFIC SERINE/THREONINE KINASE 2; TSSK2
CSNK2A2,115442,"CASEIN KINASE II, ALPHA-2; CSNK2A2"
ATR,601215,ATR SERINE/THREONINE KINASE; ATR
PIP4K2A,603140,"PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE, TYPE II, ALPHA; PIP4K2A"
PIK3C3,602609,"PHOSPHATIDYLINOSITOL 3-KINASE, CLASS 3; PIK3C3"
BRAF,164757,"B-RAF PROTOONCOGENE, SERINE/THREONINE KINASE; BRAF"
DYRK3,603497,DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 3; DYRK3
STK35,609370,SERINE/THREONINE KINASE 35; STK35
MINK1,609426,MISSHAPEN/NIK-RELATED KINASE 1; MINK1
UHMK1,608849,U2AF HOMOLOGY MOTIF KINASE 1; UHMK1
GRK6,600869,G PROTEIN-COUPLED RECEPTOR KINASE 6; GRK6
PDGFRB,173410,"PLATELET-DERIVED GROWTH FACTOR RECEPTOR, BETA; PDGFRB"
RET,164761,RET PROTOONCOGENE; RET
MAP3K10,600137,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 10; MAP3K10
TSSK6,610712,TESTIS-SPECIFIC SERINE/THREONINE KINASE 6; TSSK6
MAP2K3,602315,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3; MAP2K3
TTK,604092,TTK PROTEIN KINASE; TTK
TNNI3K,613932,TNNI3-INTERACTING KINASE; TNNI3K
CAMK4,114080,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE IV; CAMK4
MAST4,618002,MICROTUBULE-ASSOCIATED SERINE/THREONINE KINASE 4; MAST4
FAM20A,611062,"FAMILY WITH SEQUENCE SIMILARITY 20, MEMBER A; FAM20A"
SRMS,617797,SRC-RELATED KINASE LACKING C-TERMINAL REGULATORY TYROSINE AND N-TERMINAL MYRISTYLATION SITES; SRMS
CDKL5,300203,CYCLIN-DEPENDENT KINASE-LIKE 5; CDKL5
HIPK3,604424,HOMEODOMAIN-INTERACTING PROTEIN KINASE 3; HIPK3
PIP5K1B,602745,"PHOSPHATIDYLINOSITOL 4-PHOSPHATE 5-KINASE, TYPE I, BETA; PIP5K1B"
PRKCI,600539,"PROTEIN KINASE C, IOTA FORM; PRKCI"
PRKCG,176980,"PROTEIN KINASE C, GAMMA; PRKCG"
MAP2K5,602520,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5; MAP2K5
PEAK3,618526,PEAK FAMILY MEMBER 3; PEAK3
MOK,605762,MOK PROTEIN KINASE; MOK
STK26,300547,SERINE/THREONINE KINASE 26; STK26
SBK3,Not Found,Not Found
MUSK,601296,"MUSCLE, SKELETAL, RECEPTOR TYROSINE KINASE; MUSK"
PKN3,610714,PROTEIN KINASE N3; PKN3
ZAP70,176947,ZETA-CHAIN-ASSOCIATED PROTEIN KINASE; ZAP70
PRKG2,601591,"PROTEIN KINASE, cGMP-DEPENDENT, TYPE II; PRKG2"
EEF2K,606968,EUKARYOTIC ELONGATION FACTOR 2 KINASE; EEF2K
NTRK2,600456,"NEUROTROPHIC TYROSINE KINASE, RECEPTOR, TYPE 2; NTRK2"
CDKL3,608459,CYCLIN-DEPENDENT KINASE-LIKE 3; CDKL3
HIPK1,608003,HOMEODOMAIN-INTERACTING PROTEIN KINASE 1; HIPK1
MAP3K8,191195,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 8; MAP3K8
ERN1,604033,ENDOPLASMIC RETICULUM-TO-NUCLEUS SIGNALING 1; ERN1
GUCY2F,300041,"GUANYLATE CYCLASE 2F, RETINAL; GUCY2F"
PRKCB,176970,"PROTEIN KINASE C, BETA; PRKCB"
PIP5K1C,606102,"PHOSPHATIDYLINOSITOL 4-PHOSPHATE 5-KINASE, TYPE I, GAMMA; PIP5K1C"
MAPK6,602904,MITOGEN-ACTIVATED PROTEIN KINASE 6; MAPK6
LATS1,603473,LARGE TUMOR SUPPRESSOR KINASE 1; LATS1
CSNK1A1,600505,"CASEIN KINASE I, ALPHA-1; CSNK1A1"
DAPK2,616567,DEATH-ASSOCIATED PROTEIN KINASE 2; DAPK2
DDR2,191311,"DISCOIDIN DOMAIN RECEPTOR FAMILY, MEMBER 2; DDR2"
PRKG1,176894,"PROTEIN KINASE, cGMP-DEPENDENT, REGULATORY, TYPE I; PRKG1"
PAK6,608110,p21 PROTEIN-ACTIVATED KINASE 6; PAK6
OXSR1,604046,OXIDATIVE STRESS-RESPONSIVE 1; OXSR1
MELK,607025,MATERNAL EMBRYONIC LEUCINE ZIPPER KINASE; MELK
EIF2AK4,609280,EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 4; EIF2AK4
NUAK2,608131,"NUAK FAMILY, SNF1-LIKE KINASE, 2; NUAK2"
PIP5K1A,603275,"PHOSPHATIDYLINOSITOL 4-PHOSPHATE 5-KINASE, TYPE I, ALPHA; PIP5K1A"
MAP3K6,604468,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 6; MAP3K6
CAMKK2,615002,"CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE KINASE 2, BETA; CAMKK2"
STK38L,615836,SERINE/THREONINE PROTEIN KINASE 38-LIKE PROTEIN; STK38L
PRAG1,617344,PEAK1-RELATED KINASE-ACTIVATING PSEUDOKINASE 1; PRAG1
MAK,154235,MALE GERM CELL-ASSOCIATED KINASE; MAK
TLK2,608439,TOUSLED-LIKE KINASE 2; TLK2
NIM1K,Not Found,Not Found
ERN2,604034,ENDOPLASMIC RETICULUM-TO-NUCLEUS SIGNALING 2; ERN2
HASPIN,609240,HISTONE H3-ASSOCIATED PROTEIN KINASE; HASPIN
NRK,300791,NIK-RELATED KINASE; NRK
ALPK1,607347,ALPHA KINASE 1; ALPK1
GUCY2C,601330,GUANYLATE CYCLASE 2C; GUCY2C
PI4KB,602758,"PHOSPHATIDYLINOSITOL 4-KINASE, BETA; PI4KB"
CLK4,607969,CDC-LIKE KINASE 4; CLK4
PRKDC,600899,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC SUBUNIT; PRKDC"
KIT,164920,"KIT PROTOONCOGENE, RECEPTOR TYROSINE KINASE; KIT"
INSRR,147671,INSULIN RECEPTOR-RELATED RECEPTOR; INSRR
SRC,190090,"SRC PROTOONCOGENE, NONRECEPTOR TYROSINE KINASE; SRC"
TIE1,600222,TYROSINE KINASE WITH IMMUNOGLOBULIN AND EGF FACTOR HOMOLOGY DOMAINS 1; TIE1
JAK3,600173,JANUS KINASE 3; JAK3
PXK,611450,PXK DOMAIN-CONTAINING SERINE/THREONINE KINASE; PXK
EGFR,131550,EPIDERMAL GROWTH FACTOR RECEPTOR; EGFR
MAP3K5,602448,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5; MAP3K5
TBCK,616899,TBC1 DOMAIN-CONTAINING KINASE; TBCK
NEK6,604884,NIMA-RELATED KINASE 6; NEK6
PIK3CD,602839,"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, DELTA; PIK3CD"
CSNK1D,600864,"CASEIN KINASE I, DELTA; CSNK1D"
PDIK1L,610785,PDLIM1-INTERACTING KINASE 1-LIKE; PDIK1L
CLK1,601951,CDC-LIKE KINASE 1; CLK1
EPHA2,176946,EPHRIN RECEPTOR EphA2; EPHA2
MKNK2,605069,MITOGEN-ACTIVATED PROTEIN KINASE-INTERACTING SERINE/THREONINE KINASE 2; MKNK2
MAP3K3,602539,MITOGEN-ACTIVATED KINASE KINASE KINASE 3; MAP3K3
STK10,603919,SERINE/THREONINE PROTEIN KINASE 10; STK10
PRKX,300083,"PROTEIN KINASE, X-LINKED; PRKX"
NPR1,108960,NATRIURETIC PEPTIDE RECEPTOR A/GUANYLATE CYCLASE A; NPR1
LCK,153390,"LCK PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; LCK"
CAMK1G,614994,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE IG; CAMK1G
SRPK1,601939,SRSF PROTEIN KINASE 1; SRPK1
GAK,602052,CYCLIN G-ASSOCIATED KINASE; GAK
MYLK3,612147,MYOSIN LIGHT CHAIN KINASE 3; MYLK3
CSF1R,164770,COLONY-STIMULATING FACTOR 1 RECEPTOR; CSF1R
PAK3,300142,p21 PROTEIN-ACTIVATED KINASE 3; PAK3
ROCK1,601702,RHO-ASSOCIATED COILED-COIL-CONTAINING PROTEIN KINASE 1; ROCK1
CDKL1,603441,CYCLIN-DEPENDENT KINASE-LIKE 1; CDKL1
CSNK1G1,606274,"CASEIN KINASE I, GAMMA-1; CSNK1G1"
NLK,609476,NEMO-LIKE KINASE; NLK
HYKK,614681,AMINOGLYCOSIDE PHOSPHOTRANSFERASE DOMAIN-CONTAINING PROTEIN 1; AGPHD1
WNK2,606249,"PROTEIN KINASE, LYSINE-DEFICIENT 2; WNK2"
SIK1,605705,SALT-INDUCIBLE KINASE 1; SIK1
FN3K,608425,FRUCTOSAMINE 3-KINASE
FGFR4,134935,FIBROBLAST GROWTH FACTOR RECEPTOR 4; FGFR4
CSNK1A1L,Not Found,Not Found
PRKCE,176975,"PROTEIN KINASE C, EPSILON; PRKCE"
EPHB3,601839,EPHRIN RECEPTOR EphB3; EPHB3
ADCK2,Not Found,Not Found
CDK15,616147,CYCLIN-DEPENDENT KINASE 15; CDK15
CAMK2G,602123,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-GAMMA; CAMK2G
MAP3K20,609479,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 20; MAP3K20
STK17B,604727,SERINE/THREONINE PROTEIN KINASE 17B; STK17B
STK32C,Not Found,Not Found
ACAD10,611181,"ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 10; ACAD10"
SGK1,602958,SERUM/GLUCOCORTICOID-REGULATED KINASE 1; SGK1
STK31,605790,SERINE/THREONINE KINASE 31; STK31
ROCK2,604002,RHO-ASSOCIATED COILED-COIL-CONTAINING PROTEIN KINASE 2; ROCK2
EPHB4,600011,EPHRIN RECEPTOR EphB4; EPHB4
CSK,124095,C-TERMINAL SRC KINASE; CSK
MAP3K14,604655,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 14; MAP3K14
MAPK3,601795,MITOGEN-ACTIVATED PROTEIN KINASE 3; MAPK3
STK25,602255,SERINE/THREONINE PROTEIN KINASE 25; STK25
HIPK2,606868,HOMEODOMAIN-INTERACTING PROTEIN KINASE 2; HIPK2
PLK3,602913,POLO-LIKE KINASE 3; PLK3
COQ8B,615567,COENZYME Q8B; COQ8B
SIK3,614776,SIK FAMILY KINASE 3; SIK3
STK11,602216,SERINE/THREONINE PROTEIN KINASE 11; STK11
MYLK,600922,MYOSIN LIGHT CHAIN KINASE; MYLK
ULK4,617010,UNC51-LIKE KINASE 4; ULK4
MAP4K1,601983,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 1; MAP4K1
SRPK3,301002,SRSF PROTEIN KINASE 3; SRPK3
AMHR2,600956,ANTI-MULLERIAN HORMONE TYPE II RECEPTOR; AMHR2
MAP4K3,604921,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 3; MAP4K3
EPHA5,600004,EPHRIN RECEPTOR EphA5; EPHA5
GRK5,600870,G PROTEIN-COUPLED RECEPTOR KINASE 5; GRK5
BTK,300300,BRUTON AGAMMAGLOBULINEMIA TYROSINE KINASE; BTK
PIK3CB,602925,"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, BETA; PIK3CB"
MAP3K2,609487,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 2; MAP3K2
SCYL2,616365,SCY1-LIKE PROTEIN 2; SCYL2
MAP3K19,Not Found,Not Found
CDK3,123828,CYCLIN-DEPENDENT KINASE 3; CDK3
MYLK4,Not Found,Not Found
IP6K2,606992,INOSITOL HEXAPHOSPHATE KINASE 2; IP6K2
ITPKC,606476,"INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE C; ITPKC"
MAP3K12,600447,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 12; MAP3K12
CSNK1E,600863,"CASEIN KINASE I, EPSILON; CSNK1E"
GRK3,109636,BETA-ADRENERGIC RECEPTOR KINASE 2; ADRBK2
PTK6,602004,PROTEIN-TYROSINE KINASE 6; PTK6
MAP4K4,604666,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4; MAP4K4
TNIK,610005,TRAF2- AND NCK-INTERACTING KINASE; TNIK
STK39,607648,SERINE/THREONINE PROTEIN KINASE 39; STK39
CDK11B,176873,CYCLIN-DEPENDENT KINASE 11B; CDK11B
TLK1,608438,TOUSLED-LIKE KINASE 1; TLK1
EPHA3,179611,EPHRIN RECEPTOR EphA3; EPHA3
CSNK1G2,602214,"CASEIN KINASE I, GAMMA-2; CSNK1G2"
STKLD1,618530,SERINE/THREONINE KINASE-LIKE DOMAIN-CONTAINING PROTEIN 1; STKLD1
MARK4,606495,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 4; MARK4
STK40,609437,SERINE/THREONINE PROTEIN KINASE 40; STK40
ACAD11,614288,"ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 11; ACAD11"
MAST1,612256,MICROTUBULE-ASSOCIATED SERINE/THREONINE KINASE 1; MAST1
PRKAA1,602739,"PROTEIN KINASE, AMP-ACTIVATED, CATALYTIC, ALPHA-1; PRKAA1"
FER,176942,FPS/FES-RELATED TYROSINE KINASE; FER
MYO3A,606808,MYOSIN IIIA; MYO3A
GUCY2D,600179,"GUANYLATE CYCLASE 2D, RETINAL; GUCY2D"
PKN2,602549,PROTEIN KINASE N2; PKN2
PIP4K2B,603261,"PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE, TYPE II, BETA; PIP4K2B"
MOS,190060,"MOS PROTOONCOGENE, SERINE/THREONINE KINASE; MOS"
TRIB1,609461,TRIBBLES PSEUDOKINASE 1; TRIB1
PRKACG,176893,"PROTEIN KINASE, cAMP-DEPENDENT, CATALYTIC, GAMMA; PRKACG"
GRK2,109635,G PROTEIN-COUPLED RECEPTOR KINASE 2; GRK2
ACVR1C,608981,"ACTIVIN A RECEPTOR, TYPE IC; ACVR1C"
TYRO3,600341,TYRO3 PROTEIN TYROSINE KINASE; TYRO3
CLK2,602989,CDC-LIKE KINASE 2; CLK2
RIOK3,603579,RIO KINASE 3; RIOK3
PHKG2,172471,"PHOSPHORYLASE KINASE, TESTIS/LIVER, GAMMA-2; PHKG2"
EPHA1,179610,EPHRIN RECEPTOR EphA1; EPHA1
ITPKB,147522,"INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE B; ITPKB"
IGF1R,147370,INSULIN-LIKE GROWTH FACTOR I RECEPTOR; IGF1R
OBSCN,608616,OBSCURIN; OBSCN
RIOK2,617754,RIO KINASE 2; RIOK2
